Timeout|Limit|Ordering|C|Average depth|Average branching|Report frequency|Progress list|Acquired amount|Unaccepted amount
180|10|random|1.0|10.848684|3.599095|1.8|[320, 481, 584, 673, 788, 846, 908, 994, 1044, 1108, 1183, 1252, 1277, 1304, 1341, 1373, 1395, 1473, 1513, 1573, 1630, 1665, 1722, 1780, 1852, 1879, 1919, 1955, 2007, 2048, 2082, 2154, 2228, 2274, 2303, 2346, 2383, 2441, 2485, 2548, 2573, 2624, 2664, 2702, 2737, 2759, 2819, 2845, 2875, 2924, 2974, 2997, 3057, 3099, 3177, 3211, 3236, 3267, 3312, 3351, 3378, 3433, 3457, 3483, 3538, 3557, 3576, 3606, 3641, 3662, 3683, 3729, 3752, 3754, 3804, 3825, 3840, 3878, 3892, 3932, 3964, 4004, 4028, 4053, 4094, 4118, 4140, 4179, 4213, 4229, 4261, 4303, 4344, 4359, 4414, 4440, 4475, 4494, 4502]|4502|6096
180|10|fixed|1.0|8.993778|2.84408|1.8|[805, 1682, 2397, 3092, 3756, 4253, 4653, 5017, 5381, 5645, 5915, 6213, 6482, 6704, 6844, 7030, 7169, 7316, 7453, 7566, 7636, 7740, 7801, 7900, 7949, 8013, 8064, 8103, 8155, 8191, 8224, 8241, 8291, 8311, 8332, 8378, 8417, 8450, 8469, 8492, 8517, 8531, 8558, 8571, 8591, 8601, 8618, 8634, 8662, 8673, 8683, 8687, 8710, 8716, 8725, 8738, 8750, 8769, 8779, 8789, 8799, 8817, 8818, 8827, 8834, 8838, 8852, 8854, 8862, 8864, 8876, 8881, 8890, 8907, 8912, 8926, 8928, 8935, 8937, 8941, 8947, 8955, 8960, 8967, 8975, 8979, 8982, 8988, 8996, 9004, 9013, 9020, 9026, 9035, 9037, 9041, 9057, 9058]|9070|0
180|50|random|1.0|8.933941|3.644471|1.8|[437, 1039, 1409, 1697, 2101, 2475, 2692, 2916, 3262, 3630, 3989, 4285, 4549, 4783, 5005, 5231, 5413, 5589, 5806, 5985, 6185, 6374, 6541, 6662, 6770, 6888, 7057, 7180, 7296, 7422, 7579, 7756, 7815, 7881, 7948, 8004, 8062, 8143, 8215, 8341, 8382, 8452, 8512, 8550, 8626, 8702, 8746, 8788, 8852, 8900, 8952, 8978, 9024, 9034, 9078, 9101, 9152, 9190, 9246, 9275, 9293, 9333, 9359, 9394, 9416, 9431, 9469, 9481, 9499, 9512, 9526, 9532, 9536, 9551, 9556, 9572, 9594, 9606, 9615, 9631, 9643, 9654, 9662, 9673, 9685, 9694, 9701, 9706, 9717, 9732, 9741, 9754, 9765, 9771, 9777, 9789, 9790, 9791]|9794|5843
180|50|fixed|1.0|7.0|7.0|1.8|[162, 421, 559, 651, 1044, 1146, 1295, 1470, 1607, 1730, 1954, 2065, 2099, 2181, 2248, 2396, 2464, 2649, 2740, 2901, 3024, 3076, 3128, 3186, 3266, 3448, 3514, 3592, 3592, 3682, 3857, 4006, 4114, 4190, 4190, 4318, 4318, 4364, 4393, 4496, 4523, 4615, 4672, 4724, 4724, 4821, 4949, 4981, 5006, 5062, 5169, 5169, 5219, 5286, 5364, 5467, 5502, 5502, 5585, 5617, 5678, 5786, 5863, 5897, 5982, 5982, 5982, 5982, 6012, 6038, 6038, 6038, 6038, 6072, 6072, 6072, 6103, 6134, 6134, 6134, 6134, 6134, 6134, 6134, 6134, 6134, 6134, 6190, 6190, 6190, 6190, 6190, 6190]|6190|11187
180|200|random|1.0|7.269767|3.704241|1.8|[3295, 4552, 6240, 7070, 7526, 7963, 8636, 8904, 9179, 9310, 9392, 9526, 9640, 9671, 9728, 9761, 9818, 9847, 9875, 9892, 9905, 9913, 9928, 9933, 9947, 9949, 9957, 9965, 9980, 9980, 9981, 9983, 9986, 9986, 9986, 9986, 9988, 9988, 9989, 9993, 9993, 9997, 9997, 9997, 9997, 9997, 9997, 9998, 9998, 9998, 9998, 9998, 9998, 9998]|10000|2513
180|200|fixed|1.0|6.793483|6.380448|1.8|[363, 587, 837, 1214, 1401, 1604, 1781, 1987, 2206, 2576, 2746, 2871, 2941, 3011, 3246, 3455, 3611, 3671, 3861, 3946, 4042, 4237, 4319, 4544, 4635, 4701, 4759, 4879, 4940, 5015, 5100, 5166, 5250, 5250, 5293, 5541, 5648, 5740, 5768, 5963, 6024, 6054, 6121, 6146, 6146, 6329, 6357, 6386, 6386, 6386, 6418, 6454, 6454, 6483, 6512, 6512, 6512, 6512, 6512, 6512, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6538, 6579, 6579, 6579, 6579, 6579, 6579, 6579, 6579, 6579, 6579, 6579]|6579|4780
180|1|random|2.0|13.025392|3.057902|1.8|[44, 89, 123, 162, 197, 226, 254, 282, 312, 345, 373, 406, 437, 466, 489, 507, 544, 572, 609, 636, 671, 704, 728, 764, 795, 819, 849, 875, 897, 926, 942, 961, 988, 1007, 1039, 1056, 1079, 1095, 1124, 1154, 1175, 1199, 1223, 1246, 1268, 1287, 1312, 1333, 1349, 1372, 1389, 1414, 1437, 1459, 1493, 1523, 1548, 1567, 1592, 1614, 1640, 1655, 1671, 1685, 1702, 1723, 1744, 1764, 1778, 1802, 1823, 1848, 1866, 1887, 1910, 1934, 1956, 1978, 1986, 2001, 2023, 2042, 2061, 2083, 2102, 2123, 2143, 2163, 2179, 2197, 2222, 2236, 2252, 2273, 2296, 2312, 2326, 2350, 2365]|2380|1437
180|1|fixed|2.0|10.359871|8.906977|1.8|[2, 3, 5, 7, 7, 7, 7, 8, 10, 10, 10, 12, 13, 15, 20, 21, 24, 24, 25, 27, 27, 28, 28, 29, 29, 29, 32, 33, 34, 34, 35, 36, 37, 37, 40, 40, 40, 41, 43, 43, 44, 44, 44, 44, 45, 45, 46, 46, 47, 47, 49, 51, 51, 51, 53, 53, 53, 53, 53, 53, 55, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 57, 57, 57, 57, 57, 57, 59, 59, 60, 61, 62, 63, 63, 64, 64, 64, 64, 65, 65, 65, 65, 67, 67, 67, 68, 68, 68, 68]|69|5822
180|10|random|2.0|10.817333|3.531559|1.8|[128, 319, 560, 813, 1109, 1359, 1577, 1787, 2061, 2286, 2447, 2665, 2894, 3088, 3221, 3367, 3489, 3669, 3832, 3968, 4119, 4289, 4435, 4587, 4732, 4857, 4954, 5040, 5157, 5271, 5375, 5475, 5566, 5636, 5713, 5795, 5909, 5982, 6042, 6135, 6205, 6279, 6373, 6442, 6535, 6618, 6685, 6721, 6787, 6877, 6945, 7022, 7088, 7152, 7201, 7243, 7299, 7345, 7391, 7429, 7464, 7499, 7541, 7557, 7587, 7626, 7674, 7734, 7770, 7815, 7851, 7889, 7928, 7986, 8022, 8065, 8096, 8128, 8160, 8193, 8219, 8239, 8260, 8297, 8323, 8342, 8360, 8377, 8396, 8408, 8433, 8461, 8488, 8512, 8539, 8560, 8582, 8602]|8626|3665
180|10|fixed|2.0|8.985878|2.824141|1.8|[748, 1662, 2391, 3107, 3736, 4189, 4554, 4932, 5389, 5663, 5897, 6218, 6520, 6692, 6888, 7076, 7239, 7337, 7475, 7519, 7567, 7658, 7724, 7771, 7836, 7900, 7957, 8003, 8036, 8071, 8099, 8149, 8196, 8226, 8270, 8289, 8351, 8375, 8384, 8409, 8423, 8430, 8453, 8487, 8505, 8520, 8531, 8554, 8585, 8601, 8612, 8623, 8631, 8654, 8671, 8687, 8702, 8712, 8721, 8738, 8754, 8772, 8780, 8791, 8805, 8806, 8810, 8815, 8835, 8841, 8854, 8860, 8866, 8878, 8888, 8895, 8900, 8907, 8912, 8921, 8929, 8937, 8946, 8953, 8959, 8961, 8966, 8967, 8974, 8978, 8980, 8985, 8992, 8999, 9005, 9009, 9011, 9025, 9030]|9032|0
